head	relation	tail
280	has_genre	News
280	has_rating	4.6
280	has_director	n
280	has_director	u
280	has_director	l
280	has_director	l
281	has_genre	Short
281	has_genre	News
281	has_rating	5.3
281	has_director	n
281	has_director	u
281	has_director	l
281	has_director	l
282	has_genre	Short
282	has_rating	null
282	has_director	Alice Guy
283	has_genre	Short
283	has_rating	5.8
283	has_director	Alice Guy
284	has_genre	Short
284	has_rating	5.3
284	has_director	Alice Guy
285	has_genre	Short
285	has_genre	Horror
285	has_rating	5.3
285	has_director	Walter R. Booth
287	has_genre	Comedy
287	has_genre	Fantasy
287	has_genre	Short
287	has_rating	4.9
287	has_director	J. Stuart Blackton
287	has_director	Albert E. Smith
288	has_genre	Short
288	has_genre	Comedy
288	has_rating	5.3
288	has_director	Alice Guy
289	has_genre	Short
289	has_rating	null
289	has_director	Alice Guy
290	has_genre	Short
290	has_rating	null
290	has_director	Alice Guy
291	has_genre	Short
291	has_rating	null
291	has_director	Alice Guy
292	has_genre	Documentary
292	has_genre	Short
292	has_rating	5.3
292	has_director	Alice Guy
293	has_genre	Short
293	has_rating	null
293	has_director	Alice Guy
294	has_genre	Short
294	has_rating	null
294	has_director	Alice Guy
295	has_genre	Short
295	has_rating	null
295	has_director	Alice Guy
296	has_genre	Documentary
296	has_genre	Short
296	has_rating	5.8
296	has_director	Alice Guy
298	has_genre	Short
298	has_rating	null
298	has_director	Alice Guy
299	has_genre	Short
299	has_rating	5.5
299	has_director	Alice Guy
300	has_genre	Short
300	has_genre	Comedy
300	has_genre	Fantasy
300	has_rating	6.9
300	has_director	J. Stuart Blackton
301	has_genre	Short
301	has_genre	Fantasy
301	has_genre	Horror
301	has_rating	4.4
301	has_director	Edwin S. Porter
302	has_genre	Short
302	has_rating	5.1
302	has_director	Alice Guy
303	has_genre	Short
303	has_rating	null
303	has_director	Alice Guy
304	has_genre	Short
304	has_genre	Family
304	has_rating	6.0
304	has_director	George Albert Smith
305	has_genre	Short
305	has_rating	null
305	has_director	Alice Guy
306	has_genre	Short
306	has_genre	Drama
306	has_rating	5.4
306	has_director	Clément Maurice
307	has_genre	Comedy
307	has_genre	Short
307	has_rating	4.9
307	has_director	J. Stuart Blackton
308	has_genre	Short
308	has_rating	5.6
308	has_director	George Albert Smith
310	has_genre	Comedy
310	has_genre	Short
310	has_rating	7.3
310	has_director	n
310	has_director	u
310	has_director	l
310	has_director	l
311	has_genre	Short
311	has_genre	Comedy
311	has_rating	4.3
311	has_director	n
311	has_director	u
311	has_director	l
311	has_director	l
312	has_genre	Short
312	has_rating	null
312	has_director	Alice Guy
313	has_genre	Short
313	has_genre	Comedy
313	has_rating	5.9
313	has_director	George Albert Smith
314	has_genre	Short
314	has_rating	null
314	has_director	Alice Guy
315	has_genre	Short
315	has_rating	null
315	has_director	Alice Guy
316	has_genre	Short
316	has_rating	null
316	has_director	Alice Guy
317	has_genre	Short
317	has_rating	null
317	has_director	Alice Guy
318	has_genre	Short
318	has_rating	null
318	has_director	Max Skladanowsky
319	has_genre	Short
319	has_genre	Horror
319	has_rating	5.8
319	has_director	Tsunekichi Shibata
320	has_genre	Short
320	has_rating	null
320	has_director	Alice Guy
321	has_genre	Fantasy
321	has_genre	Short
321	has_rating	4.8
321	has_director	Edwin S. Porter
322	has_genre	Short
322	has_genre	Documentary
322	has_rating	null
322	has_director	Fructuós Gelabert
324	has_genre	Short
324	has_rating	null
324	has_director	Alice Guy
325	has_genre	Short
325	has_rating	null
325	has_director	Alice Guy
326	has_genre	Short
326	has_rating	null
326	has_director	Alice Guy
327	has_genre	Short
327	has_rating	null
327	has_director	Alice Guy
328	has_genre	Short
328	has_rating	6.3
328	has_director	Alice Guy
329	has_genre	Short
329	has_rating	null
329	has_director	Alice Guy
330	has_genre	Short
330	has_rating	null
330	has_director	Alice Guy
331	has_genre	Short
331	has_rating	null
331	has_director	Alice Guy
332	has_genre	Documentary
332	has_genre	Short
332	has_rating	null
332	has_director	Alice Guy
333	has_genre	Short
333	has_rating	null
333	has_director	Alice Guy
334	has_genre	Short
334	has_genre	Comedy
334	has_rating	null
334	has_director	Alice Guy
335	has_genre	Biography
335	has_genre	Drama
335	has_rating	6.1
335	has_director	Herbert Booth
335	has_director	Joseph Perry
336	has_genre	Short
336	has_rating	null
336	has_director	Alice Guy
337	has_genre	Short
337	has_genre	Sport
337	has_rating	5.0
337	has_director	n
337	has_director	u
337	has_director	l
337	has_director	l
338	has_genre	Short
338	has_rating	null
338	has_director	Alice Guy
339	has_genre	Short
339	has_rating	null
339	has_director	Alice Guy
340	has_genre	Comedy
340	has_genre	Fantasy
340	has_genre	Short
340	has_rating	5.0
340	has_director	Edwin S. Porter
341	has_genre	Comedy
341	has_genre	Short
341	has_genre	Fantasy
341	has_rating	4.9
341	has_director	Edwin S. Porter
342	has_genre	Short
342	has_genre	Comedy
342	has_rating	null
342	has_director	Alice Guy
343	has_genre	Short
343	has_rating	null
343	has_director	Alice Guy
344	has_genre	Short
344	has_rating	null
344	has_director	Alice Guy
345	has_genre	Short
345	has_rating	null
345	has_director	Alice Guy
346	has_genre	Short
346	has_genre	Comedy
346	has_rating	4.9
346	has_director	Edwin S. Porter
347	has_genre	Documentary
347	has_genre	Short
347	has_genre	News
347	has_rating	4.4
347	has_director	n
347	has_director	u
347	has_director	l
347	has_director	l
348	has_genre	Short
348	has_rating	null
348	has_director	Alice Guy
349	has_genre	Short
